date,ATVI,ADBE,AKAM,ALXN,GOOGL,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ADSK,ADP,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,XRAY,DISCA,DISH,DLTR,EBAY,EA,EXPE,ESRX,FAST,FISV,GILD,HAS,HSIC,HOLX,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LRCX,LBTYA,MAR,MAT,MXIM,MCHP,MU,MDLZ,MSFT,MNST,MYL,NFLX,NVDA,ORLY,PCAR,PAYX,QCOM,REGN,ROST,STX,SIRI,SWKS,SBUX,SYMC,TSLA,TXN,TSCO,TMUS,FOX,ULTA,VRSK,VRTX,VIAB,VOD,WBA,WDC,WYNN,XLNX
2000-01-03,1.2459,16.2776,327.6,7.375,,89.38,,53.8909,31.855,3.5554,24.9456,8.0571,27.907,,31.0833,12.75,52.4975,2.8204,2.555,36.4167,27.5549,43.6451,40.4567,1.977,12.9176,32.9769,3.5977,7.0699,,33.7597,10.64,7.5361,25.275,,4.0,3.9064,6.3483,1.6268,12.1685,3.155,1.5,4.015,,44.815,29.0632,27.9889,,2.8491,31.8691,35.4107,,11.8864,7.2175,31.3101,12.6402,37.97,,38.4516,0.0899,10.2379,,3.6126,10.75,4.7916,15.9361,66.8666,12.75,1.7561,,39.8819,29.8562,2.7105,5.1472,,39.2817,0.9109,,14.6758,,,18.75,,18.781,21.9664,3.398,,34.3854
2000-01-04,1.208,14.912,300.0,6.9375,,81.94,,49.7725,30.2444,3.2556,23.7229,7.6636,27.907,,28.98,13.56,52.4975,2.5938,2.5075,33.1333,26.4825,41.1822,38.467,1.9101,11.9505,31.1724,3.4884,7.0699,,32.5184,10.8467,6.7894,22.345,,3.8831,3.6818,5.9167,1.5529,11.3802,3.0,1.422,3.6575,,46.625,27.7069,28.2207,,2.7028,30.518,33.867,,11.8123,7.2894,30.1549,11.6996,36.5,,37.1519,0.0859,9.7674,,3.5161,9.97,4.5713,14.7409,60.4522,12.0,1.6872,,37.2153,28.1069,2.6248,4.9092,,37.6021,0.8908,,14.311,,,17.28,,17.8818,21.1511,4.043,,33.6058
2000-01-05,1.2126,15.1777,276.8,7.1575,,71.75,,51.3223,30.64,3.3032,22.7172,7.1954,27.6709,,31.0,12.88,47.9527,2.6342,2.485,32.6667,26.9421,41.5052,36.6352,1.9088,11.6217,31.7022,3.5617,7.2203,,32.3198,10.8333,7.2001,21.5475,,3.8244,3.8254,6.26,1.5494,10.8436,3.2025,1.4845,3.7825,,44.565,28.2715,33.9825,,2.7304,29.3666,33.1109,,12.0578,7.0462,30.2762,11.7348,35.875,,37.5445,0.0885,9.8976,,3.4104,10.03,4.8335,15.4899,58.9231,11.75,1.7247,,39.0867,28.8342,2.6314,4.6043,,36.9111,0.8965,,14.6991,,,16.75,,17.4758,21.3434,3.9887,,32.9144
2000-01-06,1.1891,15.3316,236.1,7.75,,65.56,,52.3412,29.8453,3.0174,22.8553,6.744,28.009,,32.3733,12.75,44.2479,2.5625,2.4925,30.5333,26.9263,40.3747,33.1612,1.9127,12.0887,32.3396,3.721,7.2023,,29.1492,11.0556,7.1948,20.0,,3.8831,3.8373,6.13,1.645,10.5588,3.1725,1.4845,3.75,,41.655,26.3072,32.4482,,2.8088,29.2079,33.1424,,12.1786,7.2175,31.0739,11.4806,37.0,,36.2876,0.0885,9.9775,,3.1788,9.47,4.6958,16.1871,52.2477,11.63,1.5411,,40.2406,26.0249,2.7545,4.3491,,35.6933,0.8822,,14.5322,,,16.75,,17.0964,20.7665,3.9352,,30.0164
2000-01-07,1.2217,16.0765,248.4,8.25,,69.56,,58.2235,30.6859,3.1603,23.0525,7.5429,28.6476,,36.1033,13.38,44.0604,2.5417,2.5387,31.9833,28.2787,42.7569,35.2456,1.9358,11.7101,34.4812,3.721,7.1842,,30.2805,11.4578,7.1894,20.595,,3.93,3.8318,6.36,1.8961,10.9298,3.2825,1.547,3.9525,,52.2,27.3929,34.0984,,2.8088,30.9292,33.6465,,12.5216,7.013,31.7887,11.1782,35.25,,36.7626,0.0866,10.5026,,3.2321,8.315,4.8742,16.5098,55.9397,13.0,1.5218,,39.6395,28.7011,2.7413,4.6948,,35.8842,0.9034,,14.6525,,,18.22,,17.4531,21.2972,4.8511,,33.4219
2000-01-10,1.2838,16.6972,285.5,8.2825,,69.19,,61.7597,33.3561,3.1047,24.9258,7.4681,29.3507,,39.8333,13.69,47.0153,2.5471,2.625,35.3,28.9232,44.3315,39.2566,1.9731,13.2105,35.2,3.721,7.3527,,31.3658,11.8889,7.5894,24.0325,,3.8788,3.7333,6.3433,2.1434,11.4266,3.485,1.6875,4.095,,55.15,28.6457,39.4616,,2.7304,34.2365,35.3792,,13.1763,7.1844,32.2291,11.9908,37.19,,37.0298,0.0872,10.7126,,3.3378,8.405,5.0736,16.7847,59.4452,14.5,1.5471,,41.2103,27.1372,2.8578,5.1355,,38.3274,0.8604,,17.4899,,,18.78,,18.9707,21.9202,4.3121,,35.1209
2000-01-11,1.3406,15.5501,278.4,7.5,,66.75,,56.8877,31.9856,2.9459,23.8215,7.2698,28.7818,,36.7067,14.06,49.0777,2.4325,2.8287,33.75,27.2379,42.9991,36.3194,1.9525,12.003,33.9513,3.721,7.3527,,29.7024,11.4445,7.4241,23.75,,3.805,3.7628,5.6883,1.9475,11.1351,3.4075,1.5313,4.4375,,54.3,29.9619,38.1869,,2.7685,33.9545,34.9381,,12.7165,7.3944,30.2762,11.5604,36.155,,36.0798,0.0911,11.3428,,3.2028,8.28,4.6958,16.2349,54.3734,14.09,1.4771,,39.6395,27.123,2.7754,4.7174,,37.8158,0.8679,,17.0047,,,19.78,,18.5458,22.7893,3.9887,,32.3186
2000-01-12,1.2838,15.4707,254.0,7.4075,,63.56,,54.4218,33.0241,2.7693,25.0639,7.1489,28.5135,,35.2067,14.25,51.4176,2.3646,2.7425,31.75,26.4825,41.909,38.088,1.8689,12.4866,33.9032,3.7361,7.1932,,30.0358,11.2356,6.9548,22.5,,3.6662,3.6901,5.9383,1.9302,11.3007,3.5,1.5157,4.375,,51.5,30.483,32.972,,2.7431,35.0119,35.9148,,12.8373,7.2894,31.2718,12.4881,37.0,,34.9054,0.0872,11.0823,,3.121,8.125,4.6407,16.0118,51.5764,14.13,1.3787,,39.5134,30.7688,2.7819,4.8305,,38.5564,0.9178,,16.4962,,,19.565,,19.1377,23.2662,3.9352,,32.3186
2000-01-13,1.2974,16.295,232.8,8.72,,65.94,,57.2045,33.1335,3.0729,24.5512,7.0739,28.3417,,38.7067,15.25,47.9977,2.4846,2.7738,32.9833,28.6907,42.878,38.467,1.9358,13.1939,35.1778,3.7861,7.5031,,31.5431,11.5845,7.3494,23.2025,,3.5744,4.2571,6.3333,2.0368,11.2146,3.985,1.5313,4.4375,,68.65,30.4195,37.0837,,2.7558,35.1882,35.8517,,12.8607,7.5988,32.1908,13.2191,38.94,,35.5651,0.0872,11.3428,,3.2514,8.19,4.8059,16.8843,53.3665,14.19,1.325,,39.0286,32.7985,2.982,4.949,,39.0909,0.9034,,17.6607,,,19.565,,19.1604,23.22,3.7196,,33.2821
2000-01-14,1.2838,16.4638,230.0,8.6575,,64.25,,58.4889,35.8143,3.1901,26.7401,7.2867,28.0412,,38.5,16.75,49.1677,2.6513,3.0162,39.3333,28.8228,43.4432,42.8253,1.8792,13.4868,36.3561,3.7501,7.4099,,32.0077,11.8756,7.1361,21.2025,,3.8438,4.1365,6.0733,1.99,10.89,3.845,1.5938,4.4225,,65.9,34.4416,37.7234,,2.7558,40.534,40.8924,,12.7632,7.1512,32.312,12.373,36.625,,37.0298,0.0899,11.473,,3.3911,7.14,4.8191,18.0795,52.3596,14.5,1.3828,,40.7255,36.1259,2.9061,4.7853,,41.1905,0.9321,,17.4666,,,22.0,,20.0634,22.6432,3.8809,,35.4445
